U_wind_ms,Omega_rpm,pitch_deg,r_m,chord_m,twist_deg,a,ap,alpha_deg,cl,cd,W_ms,Np_per_m,Tp_per_m
8.0,72.0,3.0,1.952,0.666,8.42,0.1732909948141546,0.03771388876597982,11.994353155354693,1.0893378674388974,0.0303137959317813,16.643285799717287,114.31486194546522,45.76979401140702
8.0,72.0,3.0,2.257,0.636,6.16,0.1642681806368934,0.027175586056105254,11.77132970461121,1.0813597042183383,0.02914725985658015,18.714842490773986,139.2231522687552,48.99363030707416
8.0,72.0,3.0,2.343,0.627,5.66,0.16332960620558623,0.025139839901345266,11.62413707105914,1.076179390164678,0.028399685510018396,19.307259953778402,145.9186470385016,49.59658830655426
8.0,72.0,3.0,2.562,0.605,4.66,0.1629341955926805,0.021086244240278475,11.09263684922198,1.0581717419126255,0.02584438289692428,20.83010769630035,162.441918511449,50.761606089711094
8.0,72.0,3.0,2.867,0.574,3.42,0.16679208965487674,0.017226276758518,10.44392614835934,1.0375186174370368,0.023020040624891328,22.977144911224116,185.53572476463998,51.77765006116814
8.0,72.0,3.0,3.172,0.543,2.49,0.17266761007419543,0.01451628961566638,9.768070288755519,1.0164150108702006,0.02040316342966962,25.150024414305044,207.41507592030703,52.13019773168866
8.0,72.0,3.0,3.476,0.512,1.83,0.1794884025037118,0.012503369558128611,9.064034421875682,0.993429564220698,0.018008422239865554,27.335924607364166,227.00077050687406,51.80466885316991
8.0,72.0,3.0,3.781,0.482,1.4,0.18800784707379134,0.010989170583742023,8.30144887478901,0.9656150084428482,0.015768943709167406,29.544328121102907,243.63580284892626,50.74670547997259
8.0,72.0,3.0,4.086,0.451,1.13,0.1993402277650019,0.009860627396105751,7.503580733105128,0.9311900294952642,0.013788703700299752,31.76401849189947,254.975992308671,48.571149149244505
8.0,72.0,3.0,4.391,0.42,0.96,0.21900611708098558,0.009154611726864492,6.632305641801527,0.8845605165795556,0.012010365031469357,33.98962681055321,259.06749203754146,44.815801655241714
8.0,72.0,3.0,4.696,0.389,0.85,0.26343658698492434,0.00903790394916841,5.515560871970577,0.8024935210859709,0.0102478479390421,36.20968039811082,247.8747804351903,37.63770973053564
8.0,72.0,3.0,5.0,0.358,0.79,0.47364971030939934,0.010751661585050592,2.5159911088976563,0.4501992986636147,0.007698257644696222,38.336395226578766,144.47765096820964,13.469800194055853
9.0,72.0,3.0,1.257,0.737,22.0,0.31699137728500126,0.1541899369182298,3.621173851049598,0.5893700618619356,0.008337069754405775,12.832711064608212,38.755791048917814,20.442893322338428
9.0,72.0,3.0,1.343,0.728,18.3,0.31597057840967413,0.14432982086845517,6.6811145433838695,0.8874991923888844,0.012100116377253178,13.121314113622823,60.60460181834882,31.146528409568692
9.0,72.0,3.0,1.51,0.711,14.29,0.21920851132736258,0.09154067169030883,12.196293157872127,1.0966750035099468,0.03140576306794362,14.27652279831823,86.10538711244872,45.486503872010566
9.0,72.0,3.0,1.648,0.697,11.91,0.18961143451561444,0.06908598573845944,13.858595513479054,1.158399884435874,0.041756654989903975,15.154585292530921,101.52749008290172,51.072238908186286
9.0,72.0,3.0,1.952,0.666,8.42,0.1591698969342235,0.043110786752308186,14.819764437291791,1.1921316400953856,0.048930178469537004,17.11600038955539,130.3697985458559,57.743143947692225
9.0,72.0,3.0,2.257,0.636,6.16,0.1478526275464708,0.030613023115375868,14.459247509516295,1.179856699272018,0.046131951547333606,19.14188271202028,156.938015940061,61.44060653297924
9.0,72.0,3.0,2.343,0.627,5.66,0.14623752115158056,0.028221522625485627,14.269266852312493,1.1731876979544318,0.044709812153338566,19.722720476609332,164.01120492275246,62.12780890049951
9.0,72.0,3.0,2.562,0.605,4.66,0.14401736659806194,0.023482033871951736,13.628925302511586,1.1499601502246366,0.04017585923465029,21.218551717037723,181.19776649361626,63.41199478063503
9.0,72.0,3.0,2.867,0.574,3.42,0.14510307517236695,0.01900220624568013,12.834051498643504,1.1203103799991536,0.03508359923326237,23.332523415355038,204.647633662678,64.36954453296313
9.0,72.0,3.0,3.172,0.543,2.49,0.14854838671707887,0.015930037953854635,12.01461969033184,1.090069742460212,0.03042184273795876,25.477079074000162,226.3986439948371,64.5170462182718
9.0,72.0,3.0,3.476,0.512,1.83,0.15372702947546862,0.013733006342706522,11.166227704253444,1.0605939491085536,0.026184952264941278,27.638510492396026,245.96158031397943,63.98542116331892
9.0,72.0,3.0,3.781,0.482,1.4,0.16168194036953415,0.01217681734244067,10.25325033195891,1.0315791762376243,0.02224897418156907,29.82528892093788,263.5765839122278,62.87882046554151
9.0,72.0,3.0,4.086,0.451,1.13,0.17356411245113793,0.011106701746652205,9.299539616998713,1.001325127362843,0.018773277161007497,32.02558530820052,277.1731566465466,60.714624456599395
9.0,72.0,3.0,4.391,0.42,0.96,0.1946989863716458,0.010568291950833223,8.2628958947372,0.9640940290430988,0.015664990547792815,34.233269623670736,285.0620037497469,56.91968491201782
9.0,72.0,3.0,4.696,0.389,0.85,0.2436558564285404,0.01088726353630631,6.918046275000281,0.9011496928404872,0.01255199608417749,36.43403632850938,280.7377295128683,49.350250055218744
9.0,72.0,3.0,5.0,0.358,0.79,0.47519713437803957,0.014291206612268908,3.2516307356620477,0.5423333080613975,0.008090804656351258,38.52848489422244,175.52164268601834,19.02723090171722
10.0,72.0,3.0,1.257,0.737,22.0,0.34237614338717026,0.19226697462019726,4.472998131197317,0.6941828116485574,0.009049819298372473,13.365976374888465,49.09636455546899,26.90854505733896
10.0,72.0,3.0,1.343,0.728,18.3,0.31284826045409514,0.17180803432239947,8.77544609850008,0.9833603907547507,0.01711910606925093,13.711773768462107,72.05993411089744,40.07197173131824
10.0,72.0,3.0,1.51,0.711,14.29,0.2103832888917463,0.10562584459306276,14.809739784876019,1.1917978653027088,0.04885058712459011,14.859325153966969,99.57472109187373,56.91753913952343
10.0,72.0,3.0,1.648,0.697,11.91,0.17821979090165463,0.0779926418201431,16.619526936117577,1.2420582686058397,0.06495141286351475,15.714680731663385,115.19534655756839,62.63988603731534
10.0,72.0,3.0,1.952,0.666,8.42,0.1449757558285591,0.047190072485023625,17.600143946036418,1.257647552655637,0.07521595748305701,17.62511084912683,143.98363551185162,68.97779792001174
10.0,72.0,3.0,2.257,0.636,6.16,0.13345243642247848,0.033367298141750136,17.072734596021245,1.250510971053225,0.0695546917321584,19.604332026790466,172.54138131301474,73.41426900498958
10.0,72.0,3.0,2.343,0.627,5.66,0.13183226311246693,0.030773831367177405,16.830299821588227,1.2462393466448785,0.06706263135896412,20.173138786330334,180.32129073274922,74.36015262700283
10.0,72.0,3.0,2.562,0.605,4.66,0.1296118336681893,0.025677676783925144,16.055914742232616,1.2289320338110872,0.0595540044419891,21.640567432654706,199.4148788750265,76.31481785052179
10.0,72.0,3.0,2.867,0.574,3.42,0.1300010903350946,0.020799221665089837,15.09764272224839,1.201190097648193,0.05117758047701219,23.71941298421707,224.7488542491888,77.72959096739602
10.0,72.0,3.0,3.172,0.543,2.49,0.1324959363662384,0.01744541580271613,14.131425248844797,1.1682755989403102,0.0437002763654817,25.83365677024137,247.51169642034517,77.94150477292501
10.0,72.0,3.0,3.476,0.512,1.83,0.1364386812327579,0.015035329333971763,13.15430688015749,1.132292830778324,0.03706578326349031,27.96900930591836,267.0081811392646,77.11535866815125
10.0,72.0,3.0,3.781,0.482,1.4,0.14267954912742498,0.013321339523105147,12.12960422491625,1.0942414601794441,0.031041360894708967,30.133151025207642,283.5742591545287,75.47806659956191
10.0,72.0,3.0,4.086,0.451,1.13,0.15280620227351416,0.012187591014243515,11.0694077043839,1.057411556064234,0.02573775056559769,32.31353931991295,296.27443112840183,72.79985919202325
10.0,72.0,3.0,4.391,0.42,0.96,0.17246699562986267,0.011741341731979755,9.91725046779917,1.0211048402436111,0.020953237929669053,34.50317068771823,305.12296927288133,68.77192547418629
10.0,72.0,3.0,4.696,0.389,0.85,0.22020370030091246,0.012451691018256708,8.422320408223456,0.970302866366687,0.01610049975396584,36.68622272949084,305.13659313889013,61.09240447708956
10.0,72.0,3.0,5.0,0.358,0.79,0.47529808882946545,0.01814296367978808,3.994160772594332,0.6362756612887586,0.008622762716934237,38.74006271276264,207.8444577119897,25.548591467424036
11.0,72.0,3.0,1.257,0.737,22.0,0.360205412691741,0.23093217614713413,5.362351429021398,0.7885941247708919,0.010046656792059955,13.923246799693331,59.98886662094111,34.12336639083414
11.0,72.0,3.0,1.343,0.728,18.3,0.3033762199528887,0.19735474371785247,10.993716832301931,1.0549481973183201,0.02539317447132739,14.342953910127562,83.04708178453615,49.73187715384958
11.0,72.0,3.0,1.51,0.711,14.29,0.1992050221753872,0.1173277104627327,17.41109570293658,1.2554450126552172,0.07314848740698819,15.473069242370434,111.95574676049716,68.24833807845664
11.0,72.0,3.0,1.648,0.697,11.91,0.16086471910556358,0.08264448396800994,19.546052952125894,1.2571882056857837,0.0951455088960037,16.31479871711289,123.9114483199778,71.91014047212985
11.0,72.0,3.0,1.952,0.666,8.42,0.1272911714682448,0.04958994090796899,20.43860512525206,1.2571882056857835,0.09514550889600369,18.18746767308001,150.8596925405419,78.63515882208394
11.0,72.0,3.0,2.257,0.636,6.16,0.1168480201029377,0.03452111163612578,19.730717775619098,1.2571882056857837,0.09514550889600369,20.107341104249173,180.6004415301987,82.54337274709575
11.0,72.0,3.0,2.343,0.627,5.66,0.11560723644538255,0.0316952290323889,19.4319005642261,1.2571882056857835,0.09514550889600369,20.6595568214966,189.13788820240848,83.27758611804589
11.0,72.0,3.0,2.562,0.605,4.66,0.11498528125563197,0.026813464069014643,18.482160765336424,1.2621047576274078,0.08544110054891178,22.095245167036776,211.77903738088176,86.72437875177174
11.0,72.0,3.0,2.867,0.574,3.42,0.11642203397576194,0.022090784144929907,17.324952787589368,1.2543070750727414,0.07222063749406536,24.137514030274936,241.13257552932598,89.91413211631868
11.0,72.0,3.0,3.172,0.543,2.49,0.11938467140088632,0.018752580843876158,16.19138863174807,1.232329942002038,0.06081881746329521,26.219790505907397,266.9709690098198,91.17549372600966
11.0,72.0,3.0,3.476,0.512,1.83,0.12339232326327855,0.01629960019226392,15.071385424517727,1.200350871679666,0.050961799347461895,28.327319841548594,288.38766887851796,90.76401399166618
11.0,72.0,3.0,3.781,0.482,1.4,0.12917678501459598,0.014520423415980798,13.92501902712975,1.1608209732191017,0.04222322960458799,30.467054398123018,305.61743740194856,89.0323928159349
11.0,72.0,3.0,4.086,0.451,1.13,0.13800478835442007,0.013312710132866681,12.765362062292109,1.1177437648409694,0.03467040895963749,32.626084377482236,317.44265401038285,85.76387467330802
11.0,72.0,3.0,4.391,0.42,0.96,0.15498934537814732,0.012840537940970169,11.533238303041832,1.0730183722258984,0.027946775362232907,34.796927634557285,324.4092591700625,80.89216927838308
11.0,72.0,3.0,4.696,0.389,0.85,0.19839431889484122,0.013799596084323767,9.951287777772382,1.0221701069901785,0.021080895878574677,36.962763174143085,324.7725109621084,72.71314403988988
11.0,72.0,3.0,5.0,0.358,0.79,0.473294798970857,0.022163221290197037,4.760483347683186,0.7269604188353365,0.009341598954336547,38.96776275643089,239.82530071894632,32.91279340510982
12.0,72.0,3.0,1.257,0.737,22.0,0.3700466617487233,0.26937296565697244,6.390867007125224,0.8693268472071978,0.011582755662335145,14.513003760445164,71.13108607603802,42.11292383234595
12.0,72.0,3.0,1.343,0.728,18.3,0.2970523730324837,0.22361987731846164,12.947096357357683,1.124538803974324,0.035772747729974394,14.989206770337884,95.14354674382184,60.43834963208718
12.0,72.0,3.0,1.51,0.711,14.29,0.1808995228440665,0.12468834613458502,20.220685475999662,1.2571882056857837,0.0951455088960037,16.142312977184726,119.73924950938873,78.30361107863365
12.0,72.0,3.0,1.648,0.697,11.91,0.1441784467211463,0.08989361977884724,22.26437472221892,1.2571882056857837,0.0951455088960037,16.99624467057233,130.62626933429493,84.33272343162032
12.0,72.0,3.0,1.952,0.666,8.42,0.11314300079528035,0.05355167777905971,23.043290943984655,1.2571882056857837,0.0951455088960037,18.80667203457291,157.31911791711977,91.32434651742933
12.0,72.0,3.0,2.257,0.636,6.16,0.10298504214453684,0.037085255203905904,22.21990446710324,1.2571882056857835,0.09514550889600369,20.672110608881418,186.91897632257636,95.45351866825821
12.0,72.0,3.0,2.343,0.627,5.66,0.10165640949146977,0.03400714354070835,21.88723172092005,1.2571882056857837,0.0951455088960037,21.21034030789984,195.41370453974338,96.23710787079604
12.0,72.0,3.0,2.562,0.605,4.66,0.10043932161192032,0.028040489723994963,20.867495592814432,1.2571882056857837,0.09514550889600369,22.602952811247793,217.71379166953125,97.84232378310782
12.0,72.0,3.0,2.867,0.574,3.42,0.1020866717466234,0.02250696474946129,19.568504097589397,1.2571882056857837,0.09514550889600372,24.589653347828698,249.0920566551456,98.92711077333365
12.0,72.0,3.0,3.172,0.543,2.49,0.10656952974425474,0.01945211084161157,18.246279142973176,1.2619058290483833,0.08261166630899788,26.63461762360871,280.3921786826655,102.00292564746304
12.0,72.0,3.0,3.476,0.512,1.83,0.11167350408146073,0.017264174201570424,16.963187426445643,1.2486541371329392,0.06842012736475277,28.713008730642443,306.3259147465093,103.42821776239052
12.0,72.0,3.0,3.781,0.482,1.4,0.1179812700655274,0.015603837643305826,15.68074200293406,1.218796856743503,0.05615679424532561,30.826878585081747,326.55801148131275,102.6042250020129
12.0,72.0,3.0,4.086,0.451,1.13,0.12663145401869988,0.014437349556708598,14.408709641659328,1.1780949142363402,0.045750139266834106,32.962975581116474,339.62001445941377,99.40709555837682
